X,Y,Resistivity,Chargeability
7.5,0,287.23,2.88
12.5,0,389.73,2.53
17.5,0,562.62,2.79
22.5,0,1012.2,4.5
27.5,0,691.25,4.09
32.5,0,507.32,4.08
37.5,0,444.07,4.38
42.5,0,483.36,3.6
47.5,0,623.83,2.82
52.5,0,583.82,2.88
57.5,0,866.48,3.01
62.5,0,650.32,2.94
67.5,0,566.3,2.84
72.5,0,405.82,1.25
77.5,0,211.76,1.53
82.5,0,109.5,2.25
87.5,0,110.9,1.95
92.5,0,216.18,1.16
97.5,0,309.47,2.74
102.5,0,456.2,1.57
107.5,0,324.79,2
112.5,0,459.61,2.67
117.5,0,387.89,2.32
122.5,0,678.1,3.12
132.5,0,1071.2,7.42
142.5,0,572.21,1.77
147.5,0,326.2,1.93
152.5,0,316.44,2.38
162.5,0,587.7,4.36
167.5,0,693.94,6.3
187.5,0,540.16,1.91
7.5,-0.375,287.23,2.88
12.5,-0.375,389.73,2.53
17.5,-0.375,562.62,2.79
27.5,-0.375,691.25,4.09
32.5,-0.375,507.32,4.08
37.5,-0.375,444.07,4.38
42.5,-0.375,483.36,3.6
47.5,-0.375,623.83,2.82
52.5,-0.375,583.82,2.88
57.5,-0.375,866.48,3.01
62.5,-0.375,650.32,2.94
67.5,-0.375,566.3,2.84
72.5,-0.375,405.82,1.25
77.5,-0.375,211.76,1.53
82.5,-0.375,109.5,2.25
87.5,-0.375,110.9,1.95
92.5,-0.375,216.18,1.16
97.5,-0.375,309.47,2.74
102.5,-0.375,456.2,1.57
107.5,-0.375,324.79,2
112.5,-0.375,459.61,2.67
117.5,-0.375,387.89,2.32
122.5,-0.375,678.1,3.12
132.5,-0.375,1071.2,7.42
137.5,-0.375,609.11,1.36
142.5,-0.375,572.21,1.77
147.5,-0.375,326.2,1.93
152.5,-0.375,316.44,2.38
162.5,-0.375,587.7,4.36
167.5,-0.375,693.94,6.3
177.5,-0.375,686.82,2.31
187.5,-0.375,540.16,1.91
7.5,-0.75,287.23,2.88
12.5,-0.75,389.73,2.53
17.5,-0.75,562.62,2.79
27.5,-0.75,691.25,4.09
32.5,-0.75,507.32,4.08
37.5,-0.75,444.07,4.38
42.5,-0.75,483.36,3.6
47.5,-0.75,623.83,2.82
52.5,-0.75,583.82,2.88
57.5,-0.75,866.48,3.01
62.5,-0.75,650.32,2.94
67.5,-0.75,566.3,2.84
72.5,-0.75,405.82,1.25
77.5,-0.75,211.76,1.53
82.5,-0.75,109.5,2.25
87.5,-0.75,110.9,1.95
92.5,-0.75,216.18,1.16
97.5,-0.75,309.47,2.74
102.5,-0.75,456.2,1.57
107.5,-0.75,324.79,2
112.5,-0.75,459.61,2.67
117.5,-0.75,387.89,2.32
122.5,-0.75,678.1,3.12
132.5,-0.75,1071.2,7.42
137.5,-0.75,609.11,1.36
142.5,-0.75,572.21,1.77
147.5,-0.75,326.2,1.93
152.5,-0.75,316.44,2.38
162.5,-0.75,587.7,4.36
167.5,-0.75,693.94,6.3
177.5,-0.75,686.82,2.31
187.5,-0.75,540.16,1.91
7.5,-3.375,359.5,3.11
12.5,-3.375,395.18,2.58
17.5,-3.375,474.02,2.88
22.5,-3.375,745.91,3.46
27.5,-3.375,683.47,4.24
32.5,-3.375,692.81,4.33
37.5,-3.375,636.31,4.86
42.5,-3.375,740.61,4.17
47.5,-3.375,722.43,2.88
52.5,-3.375,689.83,2.79
57.5,-3.375,615.86,3.28
62.5,-3.375,469.73,3.7
67.5,-3.375,488.53,3.08
72.5,-3.375,452.17,1.38
77.5,-3.375,249.23,1.51
82.5,-3.375,163.05,2.18
87.5,-3.375,144.31,1.86
92.5,-3.375,283.82,1.4
97.5,-3.375,373.45,2.83
102.5,-3.375,425.71,1.43
107.5,-3.375,458.89,2.25
112.5,-3.375,646.83,2.96
117.5,-3.375,415.01,2.53
122.5,-3.375,469.93,3.06
127.5,-3.375,794.5,6.81
132.5,-3.375,720.26,6.19
137.5,-3.375,461.87,2.14
147.5,-3.375,501.29,2.25
152.5,-3.375,487.13,2.59
157.5,-3.375,529.02,1.16
162.5,-3.375,432.7,3.68
167.5,-3.375,466.01,1.69
177.5,-3.375,618.51,1.38
182.5,-3.375,413.04,1.09
187.5,-3.375,429.95,1.86
192.5,-3.375,619.81,1.72
7.5,-6.76,400.77,3.3
10,-6.76,400.77,3.3
12.5,-6.76,400.77,3.3
17.5,-6.76,467.93,3.45
22.5,-6.76,678.66,3.93
27.5,-6.76,955.27,4.94
32.5,-6.76,1004.6,5.58
37.5,-6.76,811.7,6.33
42.5,-6.76,713.67,5.51
47.5,-6.76,576.48,3.46
52.5,-6.76,518.27,2.9
57.5,-6.76,405.38,3.81
62.5,-6.76,424.86,3.76
67.5,-6.76,634.93,3.35
72.5,-6.76,596.03,1.68
77.5,-6.76,448.24,1.63
82.5,-6.76,400.6,2.15
87.5,-6.76,390.14,2.14
92.5,-6.76,642.67,2.36
97.5,-6.76,763.74,3.47
102.5,-6.76,662.59,2.58
107.5,-6.76,723.79,4.08
112.5,-6.76,777.67,5.28
117.5,-6.76,332,3.69
122.5,-6.76,229.39,3.33
127.5,-6.76,783.65,3.8
132.5,-6.76,475.86,3.54
147.5,-6.76,1155.5,6.76
152.5,-6.76,1183.2,5.64
157.5,-6.76,1042,5.71
162.5,-6.76,368.65,1.87
167.5,-6.76,289.83,1.7
172.5,-6.76,612.38,1.53
177.5,-6.76,382.61,1.72
182.5,-6.76,234.17,1.56
187.5,-6.76,283.67,1.72
190,-6.76,283.67,1.72
192.5,-6.76,283.67,1.72
7.5,-9.935,420.62,4.01
15,-9.935,420.62,4.01
22.5,-9.935,420.62,4.01
27.5,-9.935,777.39,4.92
32.5,-9.935,986.38,5.71
37.5,-9.935,803.44,6.3
42.5,-9.935,583.78,5.42
47.5,-9.935,419.85,3.28
52.5,-9.935,368.49,2.51
57.5,-9.935,343.07,3.31
62.5,-9.935,476.99,4.17
67.5,-9.935,785.28,2.95
77.5,-9.935,676.48,1.78
82.5,-9.935,754.53,2.32
87.5,-9.935,822.37,2.68
97.5,-9.935,1099.4,5.5
102.5,-9.935,795.19,4.36
107.5,-9.935,715.93,6.7
122.5,-9.935,166.86,2.19
132.5,-9.935,326.91,1.42
142.5,-9.935,493.48,4.3
147.5,-9.935,820.43,5.98
152.5,-9.935,1004.8,7.59
