Resistivity (ohm.m),Chargeability (msec)
287.23,2.88
389.73,2.53
562.62,2.79
1012.2,4.5
691.25,4.09
507.32,4.08
444.07,4.38
483.36,3.6
623.83,2.82
583.82,2.88
866.48,3.01
650.32,2.94
566.3,2.84
405.82,1.25
211.76,1.53
109.5,2.25
110.9,1.95
216.18,1.16
309.47,2.74
456.2,1.57
324.79,2
459.61,2.67
387.89,2.32
678.1,3.12
1071.2,7.42
572.21,1.77
326.2,1.93
316.44,2.38
587.7,4.36
693.94,6.3
540.16,1.91
287.23,2.88
389.73,2.53
562.62,2.79
691.25,4.09
507.32,4.08
444.07,4.38
483.36,3.6
623.83,2.82
583.82,2.88
866.48,3.01
650.32,2.94
566.3,2.84
405.82,1.25
211.76,1.53
109.5,2.25
110.9,1.95
216.18,1.16
309.47,2.74
456.2,1.57
324.79,2
459.61,2.67
387.89,2.32
678.1,3.12
1071.2,7.42
609.11,1.36
572.21,1.77
326.2,1.93
316.44,2.38
587.7,4.36
693.94,6.3
686.82,2.31
540.16,1.91
287.23,2.88
389.73,2.53
562.62,2.79
691.25,4.09
507.32,4.08
444.07,4.38
483.36,3.6
623.83,2.82
583.82,2.88
866.48,3.01
650.32,2.94
566.3,2.84
405.82,1.25
211.76,1.53
109.5,2.25
110.9,1.95
216.18,1.16
309.47,2.74
456.2,1.57
324.79,2
459.61,2.67
387.89,2.32
678.1,3.12
1071.2,7.42
609.11,1.36
572.21,1.77
326.2,1.93
316.44,2.38
587.7,4.36
693.94,6.3
686.82,2.31
540.16,1.91
359.5,3.11
395.18,2.58
474.02,2.88
745.91,3.46
683.47,4.24
692.81,4.33
636.31,4.86
740.61,4.17
722.43,2.88
689.83,2.79
615.86,3.28
469.73,3.7
488.53,3.08
452.17,1.38
249.23,1.51
163.05,2.18
144.31,1.86
283.82,1.4
373.45,2.83
425.71,1.43
458.89,2.25
646.83,2.96
415.01,2.53
469.93,3.06
794.5,6.81
720.26,6.19
461.87,2.14
501.29,2.25
487.13,2.59
529.02,1.16
432.7,3.68
466.01,1.69
618.51,1.38
413.04,1.09
429.95,1.86
619.81,1.72
400.77,3.3
400.77,3.3
400.77,3.3
467.93,3.45
678.66,3.93
955.27,4.94
1004.6,5.58
811.7,6.33
713.67,5.51
576.48,3.46
518.27,2.9
405.38,3.81
424.86,3.76
634.93,3.35
596.03,1.68
448.24,1.63
400.6,2.15
390.14,2.14
642.67,2.36
763.74,3.47
662.59,2.58
723.79,4.08
777.67,5.28
332,3.69
229.39,3.33
783.65,3.8
475.86,3.54
1155.5,6.76
1183.2,5.64
1042,5.71
368.65,1.87
289.83,1.7
612.38,1.53
382.61,1.72
234.17,1.56
283.67,1.72
283.67,1.72
283.67,1.72
420.62,4.01
420.62,4.01
420.62,4.01
777.39,4.92
986.38,5.71
803.44,6.3
583.78,5.42
419.85,3.28
368.49,2.51
343.07,3.31
476.99,4.17
785.28,2.95
676.48,1.78
754.53,2.32
822.37,2.68
1099.4,5.5
795.19,4.36
715.93,6.7
166.86,2.19
326.91,1.42
493.48,4.3
820.43,5.98
1004.8,7.59
768.54,5.45
272.14,2.48
185.75,2.82
281.04,2.85
163.1,2.17
163.1,2.17
163.1,2.17
289.17,3.77
289.17,3.77
289.17,3.77
488.1,4.02
496.82,4.07
431.36,3.32
367.97,2.19
381.13,1.67
474.36,2.02
715.47,2.45
860.27,2.92
850.44,3.32
2593.55,19.57
1066.3,4.75
801.05,5.64
498.12,3.43
251.5,3.41
130.01,2.45
211.87,2.74
1062.3,5.74
135.98,0.78
169.91,1.19
90.98,2.24
90.98,2.24
90.98,2.24
270.81,2.39
270.81,2.39
270.81,2.39
381.7,1.86
434.01,1.42
572.71,2.25
775.56,3.41
1045.4,4.71
941.34,3.4
796.2,3.22
757.29,4.17
686.61,4.86
543.59,4.33
356.54,2.65
114.66,2.04
110.08,1.14
283.49,2.66
1054,7.56
423.88,3.48
83.6,1.71
40.43,1.19
41.86,1.19
41.56,1.19
45.97,1.9
45.97,1.9
45.97,1.9
429.52,1.2
429.52,1.2
429.52,1.2
933.33,4.37
670.56,4.45
499.47,2.29
360.35,3.53
238.41,2.26
100.77,1.95
305.99,1.98
876.42,6.21
520.53,1.32
165.06,1.41
66.03,2.01
30.43,2.28
30.43,2.28
30.43,2.28
1003.8,5.93
1003.8,5.93
1003.8,5.93
1013.6,5.93
832.48,5.09
540.21,3.98
192.98,2.77
35.52,1.73
29.48,1.64
38.46,1.87
84.58,1.21
279.73,1.03
673.62,5.3
594.35,3.8
300.07,2.81
103.93,2.62
103.93,2.62
103.93,2.62
809.67,6.03
809.67,6.03
809.67,6.03
445.49,2.85
24.72,1.13
21.27,1.9
640.34,6.13
640.34,6.13
640.34,6.13
382.27,1.91
345.56,1.84
340.01,1.84
382.18,1.77
268.62,1.63
327.41,1.54
220.01,1.4
213.64,1.22
188.56,1.18
220.53,1.28
178.53,1.51
203.16,1.6
222.79,1.76
194.07,1.65
211.19,1.75
201.31,1.77
193.42,1.94
273.87,2.15
361.27,2.02
262.5,2.05
330.92,1.84
315.75,1.77
304.47,1.71
332.36,1.63
483.25,1.62
438.49,1.7
363.04,1.72
452.89,1.88
492.01,1.94
580.12,1.69
327.58,1.79
279.95,1.66
272.92,1.61
208.8,1.49
267.17,1.42
216.69,1.25
306.39,1.31
266.45,1.37
382.27,1.91
345.56,1.84
340.01,1.84
382.18,1.77
268.62,1.63
327.41,1.54
220.01,1.4
213.64,1.22
188.56,1.18
220.53,1.28
178.53,1.51
