Actual IP (msec),Predicted IP (msec)
1.87,3.79
18.53,29.36
2.24,1.01
3.6,4.93
2.53,4.00
1.71,1.23
1.49,2.19
1.6,2.13
3.6,4.93
1.53,2.65
3.28,4.30
10.11,17.11
1.83,0.54
25.45,29.34
1.72,3.93
1.78,6.86
1.91,3.92
9.54,12.79
1.31,3.12
2.16,2.06
4.01,4.31
2.65,3.67
2.09,2.16
1.63,2.79
1.88,4.63
21.56,27.58
2.51,3.78
1.95,1.77
6.25,7.66
2.05,1.97
1.62,2.47
2.85,4.55
2.33,0.83
3.32,8.60
1.41,2.72
4.01,4.31
1.92,0.84
2.36,6.53
1.75,2.21
1.01,2.25
1.87,1.94
2.05,2.73
2.23,0.78
1.27,3.23
13.93,19.39
1.93,1.08
2.29,5.09
9.33,15.52
2.93,3.18
1.87,3.41
1.16,2.26
1.93,3.36
1.24,2.45
6.91,7.77
2.31,6.97
1.61,3.20
1.77,1.24
1.86,4.40
2.55,6.59
1.33,4.39
1.55,2.82
1.91,5.50
2.4,4.74
1.96,1.90
2.36,6.72
1.9,5.15
2.88,5.94
2.05,2.44
1.51,1.89
1.2,4.40
5.93,10.14
2.25,5.83
2.88,7.32
6.63,12.36
1.92,1.35
1.92,0.75
2.33,1.86
4.71,10.55
1.84,1.87
1.71,2.31
1.42,2.77
2,3.25
1.19,0.50
1.84,3.56
1.89,2.71
2.34,2.81
1.6,2.13
17.7,24.07
1.84,1.39
1.86,3.92
1.9,1.08
1.4,2.30
1.9,0.56
4.36,5.98
1.9,0.31
3.44,3.46
4.02,4.98
1.91,5.50
1.32,5.31
4.09,7.01
6.59,12.88
3.22,8.06
1.24,1.72
2.06,1.27
2.19,3.78
1.56,4.50
4.08,5.17
4.25,4.79
2.05,2.73
1.16,2.26
1.72,2.15
2.16,1.74
4.5,10.22
1.78,2.00
2.81,8.16
1.41,2.72
2.15,2.84
5.64,8.11
3.77,2.99
14.7,24.07
3.32,2.52
1.24,1.72
1.38,3.29
6.3,8.13
1.71,3.14
1.89,2.76
1.49,2.19
2.01,1.49
2.03,1.85
1.6,3.94
17.53,25.34
1.63,3.42
5.5,11.09
1.31,3.16
2.11,0.89
1.99,2.17
5.71,11.79
1.25,4.16
2.26,2.48
2.44,1.87
3.93,6.89
2.04,1.68
1.5,4.86
3.33,2.39
1.51,2.59
1.28,2.31
1.53,2.22
2.32,3.98
1.61,2.83
0.61,1.06
2.25,5.11
0.79,1.49
3.79,2.78
2.96,6.57
3.12,6.88
1.62,0.62
5.51,7.24
3.68,3.57
2.82,1.96
4.17,4.87
2.21,6.62
1.25,4.16
1.57,4.66
1.93,3.36
5.28,7.88
1.66,2.90
2.4,1.12
1.39,2.58
1.75,5.23
1.34,4.11
1.65,3.96
2,3.25
2.16,2.06
1.42,3.37
6.91,7.77
1.83,1.07
1.79,3.38
2.82,6.34
2.74,3.19
1.82,1.28
1.3,2.32
1.54,3.37
1.8,3.04
1.79,3.38
1.37,2.76
1.62,4.93
3.33,5.52
1.85,2.63
2.12,1.01
2.1,2.95
2.29,1.90
6.77,7.14
1.85,3.09
0.61,1.06
1.44,3.46
1.84,3.50
2.27,0.91
1.18,1.99
1.42,2.78
1.81,1.99
1.51,1.89
1.72,2.94
3.32,4.49
4.36,5.98
1.95,1.89
1.54,2.16
1.64,3.27
1.65,2.04
2.1,1.47
2.4,1.09
2.15,2.84
1.94,2.03
1.76,2.33
1.51,1.89
2.68,3.57
2.25,6.37
11.25,19.46
1.67,3.91
2.35,1.33
2.07,2.22
4.77,5.33
1.66,2.90
13.28,17.92
1.45,3.74
3.26,4.18
4.07,5.07
4.25,7.39
1.68,4.18
3.41,2.62
2.48,2.82
2,3.25
0.68,0.94
1.28,2.82
2.79,7.00
1.74,3.33
1.25,2.27
1.84,3.56
3.3,4.11
4.15,4.96
2.14,1.91
1.63,4.58
1.15,5.70
9.91,13.11
1.84,4.39
2.16,2.02
3.01,2.25
6.19,7.30
1.77,3.26
1.85,0.72
5.74,10.72
1.77,2.11
1.95,1.21
1.41,1.75
2.05,2.44
2.17,1.73
1.8,2.26
2.02,3.71
2.22,2.20
2.15,2.54
2.88,2.97
2.89,3.47
1.16,5.39
1.73,3.40
1.96,1.71
1.65,2.04
2.79,5.73
1.82,4.35
2.88,2.97
4.92,7.87
1.84,3.50
1.94,2.34
4.86,6.97
2.62,1.14
2.34,2.81
1.93,2.87
1.64,0.39
1.28,2.31
2.22,1.95
3.58,6.83
3.43,5.08
7.42,10.81
1.98,2.16
2.34,1.34
1.7,3.00
1.6,2.13
1.88,2.02
2.92,8.70
1.7,4.48
0.56,2.28
