Resistivity (ohm.m),Chargeability (msec),IP_bin
368.65,1.87,3
2925.8,18.53,9
90.98,2.24,5
483.36,3.6,8
389.73,2.53,6
113.17,1.71,2
208.8,1.49,1
203.16,1.6,1
483.36,3.6,8
254.82,1.53,1
419.85,3.28,7
1700.5,10.11,9
43.86,1.83,3
2923.6001,25.45,9
382.61,1.72,2
676.48,1.78,3
382.27,1.91,4
1268.7,9.54,9
301.7,1.31,0
195.83,2.16,5
420.62,4.01,8
356.54,2.65,7
205.57,2.09,5
268.62,1.63,2
452.89,1.88,3
2747.5,21.56,9
368.49,2.51,6
167.18,1.95,4
756.3,6.25,9
187.47,2.05,4
237.36,1.62,1
445.49,2.85,7
73.03,2.33,6
850.44,3.32,7
262.33,1.41,1
420.62,4.01,8
74.23,1.92,4
642.67,2.36,6
211.19,1.75,2
214.95,1.01,0
183.86,1.87,3
262.5,2.05,4
68.36,2.23,5
313.38,1.27,0
1929.25,13.93,9
97.7,1.93,4
499.47,2.29,6
1542.31,9.33,9
307.58,2.93,7
330.55,1.87,3
216.18,1.16,0
326.2,1.93,4
234.65,1.24,0
767.45,6.91,9
686.82,2.31,6
309.91,1.61,1
114.11,1.77,3
429.95,1.86,3
649.32,2.55,6
429.36,1.33,0
271.86,1.55,1
540.16,1.91,4
464.23,2.4,6
179.78,1.96,4
661.51,2.36,6
504.51,1.9,3
583.82,2.88,7
234.38,2.05,4
178.53,1.51,1
429.52,1.2,0
1003.8,5.93,9
572.71,2.25,5
722.43,2.88,7
1225.7,6.63,9
125.12,1.92,4
64.67,1.92,4
176.14,2.33,6
1045.4,4.71,8
177.46,1.84,3
221.23,1.71,2
267.17,1.42,1
315.25,2.0,4
40.43,1.19,0
345.56,1.84,3
260.55,1.89,3
271.03,2.34,6
203.16,1.6,1
2396.7,17.7,9
128.96,1.84,3
381.7,1.86,3
98.41,1.9,3
220.01,1.4,1
45.97,1.9,3
587.7,4.36,8
21.27,1.9,3
336.3,3.44,7
488.1,4.02,8
540.16,1.91,4
520.53,1.32,0
691.25,4.09,8
1278.1,6.59,9
796.2,3.22,7
161.66,1.24,0
116.94,2.06,5
367.97,2.19,5
440.22,1.56,1
507.32,4.08,8
468.53,4.25,8
262.5,2.05,4
216.18,1.16,0
204.59,1.72,2
164.17,2.16,5
1012.2,4.5,8
189.68,1.78,3
806.13,2.81,7
262.33,1.41,1
273.87,2.15,5
801.05,5.64,8
289.17,3.77,8
2396.7,14.7,9
242.0,3.32,7
161.66,1.24,0
318.52,1.38,1
803.44,6.3,9
304.47,1.71,2
265.98,1.89,3
208.8,1.49,1
138.51,2.01,4
175.17,2.03,4
384.24,1.6,1
2523.6001,17.53,9
332.36,1.63,2
1099.4,5.5,8
306.39,1.31,0
79.45,2.11,5
206.98,1.99,4
1168.9,5.71,8
405.82,1.25,0
238.41,2.26,6
176.64,2.44,6
678.66,3.93,8
157.95,2.04,4
475.72,1.5,1
229.39,3.33,7
249.23,1.51,1
220.53,1.28,0
211.76,1.53,1
387.89,2.32,6
272.92,1.61,1
96.34,0.61,0
501.29,2.25,5
138.71,0.79,0
268.41,3.79,8
646.83,2.96,7
678.1,3.12,7
51.98,1.62,1
713.67,5.51,8
346.91,3.68,8
185.75,2.82,7
476.99,4.17,8
651.71,2.21,5
405.82,1.25,0
456.2,1.57,1
326.2,1.93,4
777.67,5.28,8
279.95,1.66,2
102.45,2.4,6
247.97,1.39,1
513.32,1.75,2
401.27,1.34,1
385.66,1.65,2
315.25,2.0,4
195.83,2.16,5
326.91,1.42,1
767.45,6.91,9
96.7,1.83,3
327.58,1.79,3
623.83,2.82,7
309.47,2.74,7
117.53,1.82,3
221.77,1.3,0
327.41,1.54,1
293.81,1.8,3
327.58,1.79,3
266.45,1.37,1
483.25,1.62,1
542.31,3.33,7
253.18,1.85,3
91.41,2.12,5
285.02,2.1,5
180.21,2.29,6
703.51,6.77,9
299.05,1.85,3
96.34,0.61,0
336.3,1.44,1
340.01,1.84,3
80.63,2.27,6
188.56,1.18,0
267.85,1.42,1
189.08,1.81,3
178.53,1.51,1
283.67,1.72,2
439.16,3.32,7
587.7,4.36,8
179.41,1.95,4
205.67,1.54,1
317.2,1.64,2
194.07,1.65,2
137.02,2.1,5
99.37,2.4,6
273.87,2.15,5
193.42,1.94,4
222.79,1.76,2
178.53,1.51,1
346.91,2.68,7
627.06,2.25,5
1935.9,11.25,9
381.13,1.67,2
122.54,2.35,6
212.04,2.07,5
522.74,4.77,8
279.95,1.66,2
1781.73,13.28,9
363.74,1.45,1
407.95,3.26,7
496.82,4.07,8
728.51,4.25,8
408.12,1.68,2
251.5,3.41,7
272.14,2.48,6
315.25,2.0,4
84.2,0.68,0
271.6,1.28,0
689.83,2.79,7
322.62,1.74,2
216.69,1.25,0
345.56,1.84,3
400.77,3.3,7
485.78,4.15,8
180.54,2.14,5
448.24,1.63,2
560.12,1.15,0
1300.5,9.91,9
428.97,1.84,3
192.19,2.16,5
214.95,3.01,7
720.26,6.19,9
315.75,1.77,3
61.95,1.85,3
1062.3,5.74,9
201.31,1.77,3
110.9,1.95,4
165.06,1.41,1
234.38,2.05,4
163.1,2.17,5
215.9,1.8,3
361.27,2.02,4
209.93,2.22,5
244.37,2.15,5
287.23,2.88,7
337.33,2.89,7
529.02,1.16,0
330.19,1.73,2
161.44,1.96,4
194.07,1.65,2
562.62,2.79,7
424.5,1.82,3
287.23,2.88,7
777.39,4.92,8
340.01,1.84,3
224.46,1.94,4
686.61,4.86,8
103.93,2.62,6
271.03,2.34,6
276.71,1.93,4
29.48,1.64,2
220.53,1.28,0
184.83,2.22,5
672.81,3.58,8
498.12,3.43,7
1071.2,7.42,9
206.4,1.98,4
123.51,2.34,6
289.83,1.7,2
203.16,1.6,1
191.96,1.88,3
860.27,2.92,7
438.49,1.7,2
218.19,0.56,0
336.3,3.44,7
164.53,1.86,3
269.45,1.41,1
691.25,4.09,8
